Document,Topic,Weight
320,3,0.88934016
321,0,0.5194287
322,0,0.88959646
323,1,0.47514862
324,3,0.514256
325,1,0.4920129
326,0,0.92367196
327,0,0.47673437
328,0,0.6746961
329,0,0.8976144
330,0,0.48764747
331,0,0.46911225
332,0,0.8923265
333,3,0.66944766
334,1,0.8314441
335,0,0.58960456
336,0,0.39095852
337,0,0.91261905
338,0,0.91982055
339,2,0.8871034
340,2,0.895343
341,0,0.52648145
342,0,0.49162126
343,3,0.8459483
344,0,0.8726141
345,1,0.8817809
346,2,0.38226
347,0,0.8285313
348,0,0.6958479
349,0,0.93107
350,0,0.7983659
351,2,0.89997673
352,0,0.6639619
353,3,0.58714813
354,3,0.8325628
355,3,0.89808965
356,3,0.5250218
357,0,0.89363265
358,2,0.8037607
359,1,0.677699
360,0,0.46729663
361,1,0.6496243
362,1,0.6284143
363,0,0.9043548
364,0,0.922286
365,0,0.8980148
366,0,0.61345935
367,1,0.5561774
368,0,0.9193317
369,3,0.8161784
370,0,0.54982674
371,0,0.75654227
372,0,0.67085904
373,2,0.5997174
374,0,0.8953408
375,1,0.5060865
376,3,0.48961702
377,0,0.8966777
378,0,0.87386405
379,3,0.8623234
380,0,0.56139845
381,0,0.5148693
382,0,0.8591474
383,0,0.8917923
384,0,0.71822006
385,0,0.91742224
386,3,0.9054807
387,1,0.51332104
388,2,0.8061565
389,0,0.57563174
390,0,0.6965011
391,0,0.8515649
392,0,0.9147206
393,0,0.9174185
394,3,0.70657116
395,2,0.89720654
396,3,0.8933556
397,1,0.6282086
398,0,0.8694676
399,0,0.66059923
400,1,0.91316235
401,1,0.87027425
402,1,0.84535885
403,1,0.72154695
404,0,0.52687293
405,3,0.4636736
406,0,0.71953064
407,2,0.8539221
408,1,0.6943973
409,3,0.8867442
410,0,0.9101228
411,0,0.5240204
412,0,0.53229165
413,0,0.76976913
414,0,0.6002716
415,0,0.473524
416,0,0.51809645
417,3,0.90024793
418,3,0.87586623
419,2,0.9282355
420,0,0.5181036
421,0,0.9001989
422,1,0.85708827
423,1,0.45871666
424,3,0.913724
425,3,0.9155439
426,3,0.57659006
427,3,0.51911366
428,0,0.90375876
429,2,0.9231807
430,3,0.873961
431,3,0.8505309
432,3,0.88559747
433,1,0.86324745
434,0,0.70608383
435,0,0.6130062
436,1,0.87331754
437,1,0.8815695
438,0,0.48153472
439,2,0.5590897
440,1,0.49118194
441,3,0.5997008
442,3,0.6512037
443,2,0.9167495
444,0,0.89557165
445,0,0.5347571
446,1,0.8923797
447,0,0.86776954
448,2,0.90116364
449,1,0.7246913
450,1,0.8781499
451,3,0.66311204
452,0,0.874365
453,3,0.7554474
454,3,0.897094
455,1,0.87945837
456,3,0.5661716
457,3,0.90983826
458,3,0.9184111
459,1,0.49807772
460,3,0.8617198
461,1,0.89708376
462,1,0.8361737
463,1,0.89996094
464,2,0.5830027
465,3,0.87460595
466,1,0.8889761
467,2,0.66621536
468,0,0.8075591
469,1,0.4911866
470,0,0.6928651
471,0,0.8164414
472,0,0.8170928
473,0,0.5785135
474,0,0.90530485
475,1,0.49745238
476,3,0.5949776
477,2,0.47792125
478,1,0.8722606
479,2,0.90531695
480,0,0.6155404
481,0,0.86466986
482,2,0.6632128
483,2,0.9066701
484,0,0.56470007
485,3,0.7588607
486,0,0.9073941
487,3,0.82849866
488,3,0.8958774
489,0,0.90553576
490,0,0.8965656
491,0,0.6013047
492,0,0.47279012
493,1,0.65639
494,1,0.6430556
495,0,0.54234505
496,1,0.87010807
497,0,0.8700164
498,1,0.91611487
499,0,0.8197394
500,2,0.4732025
501,1,0.7934576
502,0,0.59358025
503,0,0.7283868
504,0,0.87982804
505,1,0.87212944
506,2,0.8476575
507,0,0.59251696
508,2,0.88246787
509,0,0.57978576
510,1,0.74827486
511,1,0.6229041
512,2,0.90016705
513,0,0.4781601
514,0,0.9073645
515,3,0.78997064
516,0,0.47261643
517,0,0.83045
518,0,0.8923609
519,0,0.919349
520,1,0.46794993
521,0,0.84115744
522,0,0.8716451
523,3,0.58676493
524,0,0.93362194
525,0,0.8674076
526,0,0.47885042
527,3,0.8768004
528,1,0.8676556
529,1,0.4003049
530,3,0.7295769
531,2,0.8897247
532,2,0.77620304
533,2,0.92023313
534,3,0.8971562
535,1,0.67543876
536,0,0.4789629
537,3,0.8968005
538,3,0.5654702
539,1,0.8508379
540,0,0.86915
541,3,0.8545325
542,2,0.6405624
543,0,0.87665564
544,1,0.509489
545,2,0.49697778
546,3,0.82687044
547,2,0.9013605
548,2,0.89287263
549,1,0.5312001
550,1,0.7133634
551,3,0.90587556
552,0,0.5592107
553,0,0.92894447
554,1,0.50689954
555,0,0.9226096
556,0,0.6201964
557,2,0.5619941
558,0,0.91101784
559,0,0.6185435
560,2,0.8552008
561,0,0.8949203
562,0,0.8912628
563,1,0.8869106
564,1,0.5294695
565,2,0.8847245
566,0,0.8519914
567,0,0.90773803
568,0,0.871782
569,3,0.83905613
570,2,0.9279035
571,0,0.71846294
572,0,0.9007409
573,0,0.5081286
574,0,0.5905152
575,1,0.9172622
576,2,0.88120127
577,3,0.73192716
578,1,0.92111313
579,0,0.9015118
580,1,0.61623186
581,0,0.92860216
582,0,0.7890592
583,1,0.6233285
584,1,0.62489325
585,0,0.4810291
586,3,0.85793173
587,0,0.87411743
588,0,0.71074444
589,0,0.6435449
590,0,0.8985595
591,3,0.86257
592,2,0.55709475
593,0,0.850228
594,0,0.89106065
595,1,0.9224225
596,2,0.70017874
597,0,0.8458573
598,2,0.9354006
599,3,0.86828506
600,1,0.8663425
601,0,0.9003216
602,0,0.79462606
603,0,0.9323779
604,1,0.88586444
605,1,0.61916447
606,0,0.67055213
607,1,0.46447992
608,1,0.7888405
609,0,0.58067137
610,0,0.89005023
611,0,0.6029941
612,3,0.85765886
613,2,0.9220195
614,2,0.8616717
615,1,0.54797405
616,0,0.56773555
617,0,0.8449508
618,0,0.8704242
619,0,0.8949021
620,0,0.9058771
621,2,0.66271335
622,0,0.70987
623,2,0.9123936
624,1,0.8718385
625,0,0.87876374
626,1,0.5549437
627,0,0.86644137
628,2,0.62299216
629,0,0.753529
630,1,0.878525
631,0,0.90175843
632,0,0.49587703
633,3,0.48772708
634,0,0.7185917
635,0,0.86018807
636,0,0.9255928
637,0,0.90501934
638,2,0.5608844
639,0,0.70746785
640,0,0.83319825
641,1,0.5931061
642,2,0.50278234
643,0,0.5027413
644,0,0.6065181
645,2,0.86583143
646,3,0.48752847
647,0,0.61266047
648,0,0.9184887
649,3,0.5067462
650,0,0.75071687
651,3,0.5752527
652,0,0.5358429
653,2,0.59429365
654,0,0.89826703
655,0,0.8321075
656,1,0.42458105
657,1,0.8860296
658,0,0.9168935
659,2,0.8589182
660,0,0.49716374
661,1,0.6716107
662,1,0.793829
663,2,0.9039965
664,0,0.8536612
665,0,0.8188544
666,2,0.49464294
667,1,0.876949
668,0,0.8892489
669,1,0.9011014
670,3,0.92121255
671,0,0.91827023
672,2,0.8369261
673,0,0.89412063
674,3,0.84939086
675,0,0.84022725
676,3,0.9158174
677,0,0.8973167
678,1,0.8846902
679,1,0.8882522
680,3,0.8516919
681,0,0.59286416
682,1,0.85259736
683,0,0.93938625
684,1,0.9043289
685,1,0.8832757
686,0,0.910985
687,2,0.5709056
688,3,0.7993114
689,3,0.9029887
690,3,0.9171242
691,3,0.64407575
692,0,0.8676248
693,0,0.9054804
694,1,0.6161363
695,0,0.8980384
696,3,0.87422746
697,0,0.9089084
698,0,0.723079
699,3,0.8462237
700,3,0.8702075
701,0,0.8793107
702,0,0.8973898
703,1,0.6842834
704,1,0.87271184
705,0,0.50524527
706,0,0.82584536
707,2,0.85220456
708,2,0.8729966
709,2,0.87740767
710,0,0.6112049
711,0,0.7559085
712,2,0.82764435
713,2,0.8889585
714,2,0.71694076
715,3,0.63702315
716,1,0.90131855
717,3,0.76555055
718,1,0.64710176
719,0,0.6090772
720,3,0.8456749
721,0,0.9223363
722,1,0.5972588
